from_city,to_city,airline,days_from_today,departure_hour,day_of_week,seats,stops,is_weekend,base_price,demand_index,price
BLR,HYD,AirIndia,22,21,3,180,0,1,3595,1.078,4609
DEL,CCU,IndiGo,41,18,4,150,0,0,5169,0.759,3835
BOM,HYD,IndiGo,15,18,3,200,1,0,3702,1.23,4474
CCU,BOM,Akasa,29,12,1,200,0,0,5473,1.054,5733
HYD,CCU,Akasa,54,9,2,180,1,1,6332,0.584,4414
MAA,HYD,Vistara,7,12,4,200,1,0,6538,1.327,9400
BLR,MAA,Vistara,42,9,6,150,1,1,6461,0.821,4990
HYD,CCU,AirIndia,6,12,5,150,0,0,6407,1.438,9936
CCU,BOM,IndiGo,58,18,4,150,0,1,5813,0.521,3048
HYD,BOM,AirIndia,20,12,3,150,1,0,4558,1.163,5274
MAA,CCU,AirIndia,19,12,6,150,0,0,5462,1.158,6026
BLR,MAA,AirIndia,5,21,6,180,0,1,3769,1.397,4816
MAA,CCU,Akasa,11,21,0,150,1,1,6654,1.363,8112
HYD,MAA,Akasa,27,9,0,200,1,0,5475,1.06,6199
HYD,DEL,AirIndia,54,18,1,180,1,0,5181,0.594,3875
HYD,BOM,Vistara,20,12,6,200,0,0,3630,1.216,3691
BLR,BOM,Vistara,7,21,0,180,0,1,7427,1.385,10071
DEL,CCU,Akasa,60,12,3,180,0,0,6767,0.465,3184
CCU,MAA,AirIndia,51,21,3,200,0,0,6021,0.667,3869
BOM,HYD,Akasa,9,21,0,180,0,0,4077,1.319,4732
CCU,DEL,Vistara,34,18,0,200,0,0,4178,0.933,3962
BLR,DEL,Akasa,47,12,3,180,1,1,6963,0.802,5783
CCU,BOM,AirIndia,17,18,1,150,1,1,5735,1.263,7382
CCU,DEL,Vistara,30,6,2,180,1,0,4579,1.005,4107
CCU,BOM,Akasa,19,6,1,200,0,0,6077,1.154,7324
HYD,BLR,AirIndia,37,9,2,150,1,0,5081,0.819,4202
BLR,BOM,IndiGo,45,12,5,180,0,0,7383,0.642,4326
MAA,BLR,AirIndia,16,9,1,180,0,0,6380,1.199,8322
BOM,MAA,Vistara,39,18,1,180,0,1,7248,0.826,6625
BOM,MAA,AirIndia,12,6,3,150,0,1,5644,1.388,8000
CCU,MAA,AirIndia,7,12,1,200,0,1,5187,1.346,7393
BLR,MAA,Akasa,57,9,0,200,0,1,7436,0.577,4567
BOM,CCU,AirIndia,18,18,0,150,1,0,4991,1.173,6899
CCU,MAA,Akasa,23,18,3,150,0,0,4735,1.058,5370
CCU,BLR,Vistara,47,18,3,180,0,0,6938,0.703,4776
CCU,BLR,Akasa,24,9,4,200,0,1,4514,1.067,4272
CCU,DEL,AirIndia,19,6,0,180,0,1,5597,1.2,7308
CCU,DEL,AirIndia,2,21,0,150,1,1,7461,1.493,9431
CCU,BOM,Akasa,5,12,6,180,0,1,4959,1.387,7019
HYD,DEL,Akasa,37,21,2,150,1,1,4934,0.81,3860
CCU,HYD,Vistara,60,9,6,200,0,1,6101,0.509,3251
BOM,DEL,AirIndia,39,18,2,200,1,0,7274,0.883,5718
MAA,BLR,Akasa,9,21,0,180,0,1,5501,1.358,6958
BLR,MAA,IndiGo,24,6,1,180,1,0,5693,1.143,6679
BLR,CCU,IndiGo,3,18,1,150,0,1,6078,1.489,7569
CCU,HYD,AirIndia,23,6,6,180,1,0,4462,1.131,5531
BOM,CCU,Akasa,23,21,2,180,1,0,5994,1.185,6523
BOM,CCU,IndiGo,5,21,3,200,1,1,4453,1.476,6043
BLR,BOM,IndiGo,38,6,4,200,1,0,7168,0.843,5872
DEL,BLR,AirIndia,56,21,5,200,0,1,4379,0.643,2737
DEL,BLR,AirIndia,37,12,0,200,1,0,6916,0.879,5377
BOM,DEL,IndiGo,13,18,3,180,0,0,3639,1.316,4049
BLR,MAA,Akasa,42,6,6,180,0,1,5275,0.828,4382
CCU,DEL,Akasa,41,9,5,150,0,0,7025,0.772,5737
BOM,CCU,Vistara,40,6,2,150,0,1,7158,0.833,5361
MAA,HYD,Vistara,17,18,4,150,0,0,5323,1.266,6860
BLR,CCU,Akasa,54,21,1,200,1,0,5718,0.645,3567
BLR,DEL,IndiGo,27,12,0,150,1,1,5862,1.13,7413
HYD,CCU,AirIndia,45,9,1,200,1,0,5035,0.714,3653
HYD,MAA,AirIndia,55,21,5,150,0,1,3757,0.581,2429
BOM,MAA,Vistara,24,9,2,150,1,1,6579,1.092,6583
BLR,MAA,Akasa,37,12,5,150,1,0,7114,0.851,6405
CCU,BOM,IndiGo,38,9,0,150,0,1,5455,0.907,5427
BOM,DEL,AirIndia,44,6,6,150,1,0,6957,0.811,5763
DEL,BOM,Akasa,37,6,0,150,1,1,6370,0.894,5550
DEL,CCU,Vistara,47,18,5,200,1,1,4328,0.646,2450
HYD,MAA,IndiGo,18,12,2,180,1,1,5163,1.161,6565
MAA,HYD,Akasa,57,9,6,150,0,0,4848,0.623,3364
CCU,BOM,Akasa,59,21,5,200,1,1,3727,0.526,1878
MAA,DEL,Vistara,21,21,0,150,0,1,6713,1.116,7911
BOM,BLR,Akasa,39,9,6,150,1,0,6201,0.804,5116
BOM,CCU,IndiGo,26,21,5,200,1,0,5190,1.098,5469
DEL,CCU,AirIndia,30,18,1,150,1,0,4081,1.003,3673
CCU,HYD,Vistara,7,9,3,180,0,1,7150,1.471,9767
DEL,BOM,IndiGo,51,12,2,200,0,1,5502,0.665,3639
MAA,CCU,Akasa,49,18,1,150,1,0,6998,0.692,4764
MAA,CCU,Vistara,34,18,1,150,0,1,4511,0.855,3519
MAA,CCU,IndiGo,21,12,5,150,1,1,3726,1.148,3896
BLR,CCU,AirIndia,19,6,3,200,0,1,4025,1.149,4727
HYD,MAA,AirIndia,25,18,5,180,1,0,5625,1.122,5874
DEL,MAA,Vistara,10,18,5,150,1,0,3820,1.255,5000
HYD,BOM,AirIndia,38,6,5,150,1,0,7426,0.801,5605
MAA,BLR,AirIndia,51,12,1,150,0,0,4221,0.678,2755
BLR,HYD,Akasa,33,18,3,150,1,1,4904,0.978,4759
CCU,BLR,IndiGo,1,21,1,150,1,1,4129,1.463,5880
DEL,CCU,IndiGo,31,9,1,200,1,1,5784,0.966,5888
DEL,HYD,Akasa,51,21,3,200,1,0,3537,0.719,2169
CCU,DEL,Vistara,25,9,4,180,1,0,5514,1.062,6005
DEL,MAA,AirIndia,57,21,1,150,1,0,4419,0.59,3062
CCU,BOM,Akasa,4,9,3,200,0,1,6883,1.397,9987
DEL,BOM,AirIndia,59,18,2,180,0,0,6208,0.533,3696
BOM,CCU,IndiGo,6,18,0,180,0,1,7492,1.345,10964
DEL,BLR,Akasa,3,18,3,200,0,1,5840,1.418,7372
BOM,DEL,Vistara,50,18,3,150,0,1,7351,0.606,4649
CCU,MAA,IndiGo,44,6,3,180,0,1,6425,0.724,4340
BLR,HYD,AirIndia,55,9,0,180,0,0,7099,0.586,3881
BOM,CCU,Vistara,8,6,3,200,1,0,6168,1.364,8366
HYD,CCU,IndiGo,34,18,1,200,0,1,5521,0.89,4737
BOM,CCU,Akasa,45,12,4,150,1,0,5614,0.798,4282
DEL,HYD,AirIndia,13,9,4,180,1,0,5234,1.282,6659
MAA,BOM,IndiGo,25,18,1,150,0,0,3688,1.163,4733
BOM,BLR,IndiGo,55,21,3,180,1,1,4143,0.64,2815
BLR,DEL,Akasa,57,21,4,150,1,1,7314,0.581,4593
BLR,MAA,Vistara,48,12,5,200,0,1,6348,0.713,4485
MAA,BLR,AirIndia,55,9,6,200,1,1,5247,0.541,3197
BLR,DEL,Akasa,44,12,0,200,1,0,7180,0.766,6456
HYD,BOM,Akasa,3,6,1,180,0,0,7242,1.442,10131
BOM,HYD,IndiGo,13,6,5,150,0,0,6904,1.242,8783
HYD,BLR,Vistara,40,12,2,150,1,0,5258,0.859,3913
BLR,BOM,Vistara,4,21,0,150,0,1,5734,1.499,9014
HYD,DEL,Vistara,4,21,6,150,0,1,7143,1.457,10673
BLR,HYD,IndiGo,9,12,1,180,1,1,5242,1.365,7509
MAA,CCU,Vistara,50,21,3,200,0,0,6041,0.691,4281
MAA,BLR,AirIndia,4,6,0,180,1,0,7147,1.479,9899
BLR,CCU,AirIndia,17,21,2,200,0,0,6423,1.167,7018
CCU,DEL,Akasa,17,18,6,200,1,1,4808,1.202,6559
MAA,DEL,IndiGo,18,21,2,180,0,1,4796,1.196,5884
BLR,HYD,IndiGo,37,12,5,200,0,1,6052,0.874,5595
BOM,BLR,AirIndia,37,18,4,150,0,1,4785,0.837,4029
HYD,DEL,IndiGo,17,9,4,180,1,1,6255,1.172,7279
MAA,DEL,Akasa,48,21,6,180,1,1,7336,0.558,3343
BLR,CCU,Vistara,20,12,6,150,0,1,6293,1.204,7039
MAA,BLR,Vistara,34,21,4,150,1,1,4835,0.995,5268
MAA,BOM,Vistara,37,18,5,150,1,1,4741,0.891,4365
BOM,CCU,Akasa,8,9,1,200,0,0,5068,1.334,5948
MAA,BOM,AirIndia,3,21,6,200,1,0,4689,1.435,7446
CCU,MAA,AirIndia,37,12,1,180,1,0,6646,0.835,5326
CCU,MAA,Vistara,15,18,1,150,1,0,7049,1.194,8279
HYD,DEL,Akasa,60,9,1,180,1,1,4944,0.492,2201
DEL,HYD,IndiGo,55,18,1,150,1,0,6878,0.542,3715
MAA,BOM,Akasa,4,21,1,180,1,1,3553,1.478,5171
DEL,CCU,IndiGo,6,18,4,200,0,0,3560,1.282,4421
MAA,BLR,Akasa,14,21,3,180,0,0,4749,1.183,5154
HYD,CCU,Akasa,58,21,2,150,0,1,5702,0.513,3297
MAA,DEL,AirIndia,59,21,1,180,1,1,7476,0.422,2911
BOM,BLR,AirIndia,57,21,5,150,0,1,3574,0.482,1613
HYD,BLR,Akasa,54,21,3,180,0,0,6783,0.544,3420
CCU,BOM,Vistara,49,12,0,150,1,1,6893,0.588,4286
BLR,MAA,Vistara,18,18,4,180,1,1,4759,1.181,6225
DEL,BOM,Vistara,45,9,5,180,1,0,6930,0.792,5624
DEL,CCU,IndiGo,51,6,3,180,1,1,5254,0.669,3336
DEL,BLR,IndiGo,39,21,2,180,0,0,6075,0.806,4760
BLR,DEL,IndiGo,55,6,6,150,1,1,6766,0.557,3932
DEL,HYD,Vistara,56,18,2,150,0,0,6545,0.596,4211
HYD,DEL,IndiGo,14,9,1,150,1,0,5838,1.199,6801
BOM,CCU,AirIndia,19,9,6,180,1,1,6401,1.223,6885
BLR,HYD,Akasa,7,21,2,200,0,0,7214,1.426,9876
DEL,CCU,IndiGo,3,18,4,200,1,0,6822,1.416,10520
MAA,CCU,Akasa,29,6,1,200,0,1,3943,0.933,3273
CCU,MAA,AirIndia,44,6,3,180,1,1,4335,0.711,3018
BOM,HYD,IndiGo,13,9,0,150,0,1,4823,1.324,6181
MAA,DEL,Akasa,2,6,1,150,1,0,3736,1.451,5194
HYD,CCU,IndiGo,38,12,2,200,1,1,7170,0.971,6733
BLR,HYD,Vistara,5,9,5,150,0,1,4119,1.456,5605
CCU,BOM,IndiGo,28,21,0,200,1,0,4918,1.001,4734
BLR,DEL,IndiGo,37,12,0,200,0,0,6187,0.916,5226
CCU,BOM,Vistara,31,9,3,150,1,1,3966,1.061,4286
BLR,DEL,Akasa,41,18,1,150,0,1,3508,0.893,2954
CCU,MAA,Vistara,41,9,4,180,1,0,6957,0.775,4688
MAA,HYD,Akasa,51,9,2,200,1,0,4866,0.648,3561
BOM,DEL,Vistara,43,12,0,150,1,0,3668,0.777,2383
DEL,MAA,AirIndia,60,6,3,180,1,0,4648,0.539,2320
HYD,BOM,Akasa,5,21,6,200,1,1,7131,1.394,8802
BLR,MAA,AirIndia,8,18,5,200,1,0,5943,1.326,7257
CCU,DEL,Akasa,44,18,6,180,0,1,5066,0.733,3545
CCU,DEL,IndiGo,53,12,1,150,1,0,4268,0.526,2267
BOM,CCU,Akasa,59,21,0,150,1,0,4866,0.531,3136
DEL,BOM,AirIndia,50,9,0,200,1,1,4594,0.635,2772
DEL,MAA,IndiGo,25,12,2,200,1,1,4575,1.122,5074
CCU,BOM,Akasa,14,6,2,200,1,1,4724,1.243,5983
CCU,MAA,AirIndia,19,18,1,180,1,1,7217,1.15,8504
MAA,HYD,Vistara,37,18,5,150,0,1,4427,0.858,3567
HYD,DEL,IndiGo,56,12,6,200,1,1,6543,0.641,4198
CCU,BLR,IndiGo,22,12,6,200,1,0,6171,1.064,6969
BLR,HYD,Vistara,5,21,2,180,1,1,4695,1.377,6773
HYD,DEL,Vistara,15,12,3,180,0,1,6500,1.268,9299
MAA,BLR,Akasa,18,12,5,200,1,0,7152,1.142,8353
DEL,BLR,IndiGo,21,12,6,200,0,0,7067,1.214,7842
BLR,CCU,IndiGo,22,21,2,180,0,1,5112,1.177,6069
DEL,MAA,IndiGo,8,6,0,200,0,1,6871,1.413,9174
CCU,DEL,Akasa,27,18,6,150,0,1,5257,1.04,5512
CCU,BLR,AirIndia,14,21,5,150,1,1,6093,1.199,7134
CCU,BOM,AirIndia,11,21,3,180,0,0,5557,1.354,7400
CCU,BOM,Akasa,36,18,1,180,0,0,6934,0.847,6186
BOM,DEL,IndiGo,30,21,2,150,0,0,3636,0.956,3500
BOM,MAA,AirIndia,5,9,1,200,1,1,3958,1.401,5553
HYD,MAA,AirIndia,46,21,6,150,0,1,6450,0.725,4975
CCU,BLR,Akasa,28,9,1,180,0,1,6273,1.049,6283
CCU,BOM,Vistara,38,6,1,150,1,1,6328,0.86,6092
HYD,BOM,Vistara,3,21,4,200,1,0,5512,1.5,8415
DEL,HYD,IndiGo,58,21,4,150,0,1,4298,0.5,2179
DEL,HYD,Vistara,56,6,2,200,0,1,5430,0.61,2934
DEL,HYD,AirIndia,7,12,0,200,0,0,4376,1.425,6478
BOM,BLR,Akasa,21,18,0,180,1,1,6951,1.028,7938
CCU,HYD,Vistara,36,9,1,200,0,1,4159,0.954,4299
BLR,CCU,Vistara,7,6,6,180,1,1,5673,1.461,9382
HYD,BLR,IndiGo,19,21,4,180,0,1,6694,1.257,8398
CCU,HYD,Akasa,12,9,4,150,1,1,4020,1.32,5302
BOM,MAA,IndiGo,13,12,5,200,1,0,5057,1.257,5751
MAA,BOM,AirIndia,26,6,1,200,0,1,3845,0.997,4085
DEL,BLR,Vistara,16,9,1,200,1,0,7010,1.179,8429
BOM,MAA,AirIndia,47,18,4,150,0,1,3502,0.72,2687
MAA,HYD,Akasa,51,6,5,200,0,0,5015,0.625,3428
DEL,BOM,AirIndia,7,9,0,200,1,0,5895,1.345,7855
MAA,HYD,AirIndia,6,9,3,180,0,1,6555,1.427,8008
BOM,DEL,IndiGo,58,6,2,200,0,0,3924,0.517,2053
HYD,BOM,IndiGo,18,6,2,180,1,0,3500,1.161,3741
CCU,MAA,Vistara,38,18,0,150,0,0,4770,0.918,4388
BLR,MAA,IndiGo,2,18,4,200,1,1,5019,1.484,7198
DEL,BOM,AirIndia,39,6,2,150,1,0,4178,0.825,3497
BOM,BLR,IndiGo,45,18,6,180,0,0,5824,0.771,4382
HYD,CCU,Akasa,28,18,6,180,0,0,6483,0.986,5876
CCU,MAA,Vistara,51,12,5,180,1,0,4206,0.65,2645
MAA,HYD,Akasa,44,12,4,150,1,1,6044,0.766,5290
CCU,HYD,Akasa,30,9,6,150,1,1,6735,1.092,6990
BOM,CCU,AirIndia,50,12,3,200,1,1,7087,0.651,4822
HYD,BOM,AirIndia,56,21,2,150,1,1,4560,0.563,2350
MAA,CCU,AirIndia,24,12,5,150,0,1,6328,1.104,6021
HYD,DEL,AirIndia,32,6,2,180,1,0,4186,0.976,4238
BOM,MAA,IndiGo,56,12,1,180,0,1,4880,0.626,3458
CCU,DEL,IndiGo,19,9,1,200,1,1,4974,1.203,6173
MAA,CCU,Vistara,9,21,3,180,0,1,5075,1.286,5938
BOM,BLR,Vistara,30,12,0,200,1,0,5614,0.914,4690
HYD,DEL,Vistara,13,21,4,180,0,0,5084,1.338,7260
MAA,CCU,Akasa,40,9,1,150,0,0,4400,0.852,3378
MAA,HYD,Vistara,51,12,4,180,1,1,6231,0.673,4300
BLR,BOM,Vistara,19,12,3,150,1,0,6268,1.227,6868
BLR,BOM,IndiGo,13,12,5,150,0,0,6057,1.255,6900
DEL,HYD,IndiGo,33,18,1,150,0,0,4507,0.884,4006
BLR,CCU,Vistara,23,9,1,150,0,0,5519,1.128,6735
BLR,BOM,IndiGo,46,12,3,150,1,1,6230,0.88,5884
MAA,BOM,Vistara,39,18,4,180,0,0,7181,0.799,5905
BLR,BOM,Akasa,27,6,1,150,0,1,3509,1.082,3921
BLR,CCU,AirIndia,10,9,4,150,0,1,4799,1.363,6162
BOM,CCU,IndiGo,8,12,6,180,1,0,5369,1.235,6206
BOM,MAA,Akasa,3,9,3,150,1,0,3649,1.521,5710
MAA,BOM,Akasa,20,18,5,200,1,0,6211,1.19,7784
DEL,MAA,AirIndia,32,9,2,180,1,1,4438,0.965,4560
MAA,BLR,AirIndia,54,9,6,200,1,1,4784,0.685,3261
HYD,CCU,Vistara,30,9,2,200,0,1,6193,1.037,6143
BLR,MAA,Akasa,42,18,2,150,0,0,3952,0.753,2940
BOM,HYD,IndiGo,21,12,1,150,0,1,6368,1.194,7522
BOM,MAA,IndiGo,50,18,3,180,1,0,5065,0.8,3646
MAA,DEL,Akasa,17,6,0,200,1,0,5400,1.201,7113
MAA,CCU,AirIndia,19,9,1,200,0,1,5084,1.204,5935
BOM,DEL,IndiGo,20,9,2,150,1,0,5930,1.203,6037
HYD,CCU,IndiGo,8,21,5,150,1,0,6318,1.432,8277
BOM,BLR,AirIndia,15,6,2,150,0,1,6185,1.274,7896
DEL,HYD,Vistara,53,9,6,150,1,1,4983,0.628,2942
BOM,MAA,Akasa,25,12,1,150,1,1,5242,1.079,5819
MAA,DEL,Vistara,27,9,0,180,0,0,5966,1.153,7580
HYD,BLR,IndiGo,18,9,6,180,1,1,3834,1.166,4158
MAA,HYD,IndiGo,32,21,3,180,1,1,4680,0.979,4394
BOM,HYD,Akasa,60,21,4,180,1,0,6170,0.468,3185
HYD,BOM,Vistara,51,9,1,200,0,1,7439,0.677,5150
MAA,HYD,Vistara,8,6,5,200,0,1,7486,1.329,9617
BLR,CCU,IndiGo,43,9,1,200,1,1,4836,0.738,3228
BLR,CCU,IndiGo,12,9,1,180,1,1,5799,1.267,7443
BOM,DEL,AirIndia,27,12,3,150,1,0,6700,1.132,7210
MAA,HYD,IndiGo,13,6,6,180,1,1,5680,1.297,7039
BOM,DEL,IndiGo,55,21,4,200,1,1,7168,0.544,3631
MAA,BOM,IndiGo,56,6,1,150,1,0,4526,0.563,2431
MAA,BOM,IndiGo,48,21,2,180,1,0,7173,0.784,4811
BOM,CCU,Vistara,16,6,6,180,0,0,5685,1.098,6652
CCU,BLR,IndiGo,55,9,1,150,0,0,5705,0.582,3708
BLR,CCU,Akasa,49,18,0,200,0,0,4124,0.69,2707
DEL,CCU,Akasa,39,18,3,150,0,1,6668,0.829,4914
HYD,MAA,AirIndia,20,6,5,200,1,1,5606,1.233,6778
BLR,BOM,IndiGo,38,21,4,180,0,1,5305,0.83,4074
HYD,MAA,IndiGo,34,12,0,180,1,0,6764,0.857,6589
MAA,BOM,IndiGo,28,12,0,200,1,0,6770,0.95,6737
CCU,BOM,IndiGo,41,6,3,200,0,1,3569,0.83,3154
HYD,MAA,AirIndia,16,18,3,200,1,0,4523,1.115,4899
DEL,BLR,AirIndia,14,18,2,180,0,1,4757,1.235,5690
HYD,BOM,IndiGo,23,21,3,200,0,0,5821,1.106,5860
HYD,BOM,AirIndia,12,18,6,150,0,0,7436,1.26,8521
BLR,DEL,IndiGo,7,18,2,200,1,1,6642,1.349,9711
CCU,BLR,AirIndia,11,18,5,200,1,0,5965,1.296,6942
BLR,BOM,Akasa,46,21,4,150,1,1,4116,0.741,2570
DEL,HYD,Vistara,37,6,0,200,0,0,5558,0.904,5044
CCU,MAA,AirIndia,9,9,3,180,0,1,3870,1.384,5389
BOM,MAA,Akasa,3,18,2,150,0,0,5458,1.459,8224
HYD,CCU,IndiGo,16,6,1,150,0,1,4423,1.103,4926
DEL,HYD,Vistara,52,12,4,150,1,0,6944,0.718,4463
HYD,BOM,Akasa,34,9,0,150,0,1,6054,0.853,5412
BOM,MAA,Akasa,56,6,1,200,1,1,5388,0.591,3183
CCU,MAA,AirIndia,21,9,1,150,1,0,4245,1.115,4307
HYD,DEL,Vistara,20,12,2,150,0,0,7377,1.128,7856
CCU,MAA,AirIndia,13,9,0,150,0,0,4884,1.24,5663
BLR,DEL,IndiGo,15,6,2,150,0,0,6066,1.254,7988
HYD,DEL,Vistara,33,6,2,150,0,1,3586,0.99,3613
DEL,CCU,AirIndia,41,9,6,150,0,0,5071,0.748,4384
MAA,BLR,Akasa,48,18,0,200,1,1,7173,0.657,4364
MAA,BOM,Akasa,5,9,3,180,0,0,6358,1.464,9615
BLR,DEL,AirIndia,47,12,6,180,1,1,6379,0.718,5449
CCU,BLR,Vistara,58,21,2,180,1,1,5116,0.542,2810
DEL,BLR,AirIndia,26,6,6,200,0,1,5832,1.012,5955
DEL,BOM,AirIndia,3,6,1,180,1,1,6229,1.515,9118
BOM,BLR,Akasa,48,6,3,180,0,0,5965,0.637,4057
CCU,MAA,AirIndia,6,12,1,200,1,1,5427,1.39,6340
HYD,BLR,IndiGo,10,9,0,180,1,1,4230,1.401,6171
BOM,CCU,Vistara,38,12,5,180,1,1,5246,0.925,4692
BOM,BLR,AirIndia,28,12,0,150,1,0,5511,1.049,5260
CCU,HYD,AirIndia,14,6,0,150,1,0,7063,1.265,8349
DEL,CCU,Vistara,24,9,4,180,1,1,5595,1.055,5376
BOM,DEL,IndiGo,10,12,0,180,1,1,6292,1.43,8535
BLR,DEL,Vistara,13,18,4,200,0,0,6789,1.291,8035
BOM,MAA,Akasa,24,12,5,180,1,0,6264,1.066,5650
MAA,HYD,AirIndia,57,12,6,150,1,0,3973,0.528,2123
BLR,MAA,Akasa,17,12,0,180,1,1,5899,1.226,7241
MAA,BLR,IndiGo,40,6,0,180,1,0,6667,0.72,5029
HYD,CCU,IndiGo,50,9,1,200,1,0,4952,0.642,3231
BOM,BLR,Vistara,48,9,6,150,0,0,4499,0.712,2969
CCU,HYD,Vistara,27,18,5,150,1,0,4193,1.076,4581
BLR,CCU,Akasa,18,9,6,180,0,0,6707,1.211,8184
DEL,HYD,Akasa,21,18,0,150,1,0,4625,1.13,4774
BOM,CCU,AirIndia,42,6,3,200,0,0,3976,0.738,3210
CCU,DEL,IndiGo,17,12,4,180,1,1,5344,1.284,6183
CCU,BOM,AirIndia,20,21,3,150,0,0,5818,1.122,6466
MAA,HYD,Akasa,13,6,5,150,1,1,4180,1.235,5319
CCU,MAA,AirIndia,39,9,4,200,1,1,7210,0.921,7086
CCU,HYD,Vistara,1,6,6,200,1,1,4347,1.54,6479
BLR,MAA,Akasa,13,9,3,150,0,1,5469,1.236,7280
BLR,BOM,Vistara,43,12,0,180,1,1,5481,0.827,5101
BOM,HYD,AirIndia,12,12,3,150,0,0,4235,1.2,5093
DEL,CCU,AirIndia,10,18,0,150,0,1,3745,1.35,4921
BLR,MAA,Vistara,20,9,1,200,0,1,4397,1.166,5353
BLR,BOM,Akasa,44,12,6,150,1,1,6681,0.792,5402
MAA,BLR,Vistara,20,6,6,150,0,0,5638,1.188,6495
DEL,HYD,IndiGo,37,6,3,150,0,1,6721,0.846,5990
BLR,HYD,Vistara,33,18,4,150,0,0,6739,1.008,7258
BOM,CCU,IndiGo,46,21,6,150,0,1,6785,0.704,4695
DEL,CCU,Akasa,13,9,6,180,1,0,7176,1.303,8516
BLR,CCU,Vistara,14,6,4,150,0,0,6103,1.244,8039
MAA,DEL,AirIndia,47,6,0,150,0,1,4677,0.705,3168
DEL,CCU,IndiGo,26,9,5,150,1,0,4248,1.043,4821
HYD,BLR,Akasa,31,9,5,150,1,0,6588,0.909,5883
BLR,BOM,Vistara,51,6,4,180,1,1,7347,0.696,5364
CCU,BLR,IndiGo,13,6,3,150,1,0,3956,1.292,5822
BOM,MAA,IndiGo,33,21,6,180,1,1,3758,0.943,3502
BLR,CCU,Akasa,55,9,3,200,1,0,5787,0.548,3486
BLR,DEL,IndiGo,40,9,5,200,1,0,4795,0.854,4241
CCU,MAA,AirIndia,26,12,6,180,0,1,7232,1.037,7703
BOM,HYD,IndiGo,1,18,3,200,0,0,5617,1.393,7081
DEL,BOM,Vistara,11,18,0,150,1,0,6515,1.313,8651
HYD,DEL,Akasa,23,18,6,150,0,0,7105,1.161,9367
BLR,DEL,IndiGo,52,18,4,180,1,0,6997,0.607,3992
CCU,BLR,AirIndia,16,21,1,180,0,0,6960,1.236,7118
DEL,BOM,Vistara,26,18,3,150,0,0,4858,1.146,5834
BLR,DEL,IndiGo,9,9,6,180,0,1,6023,1.268,7201
HYD,BOM,Vistara,25,12,2,200,0,0,5474,1.093,6355
BOM,HYD,Akasa,55,21,1,180,0,1,4872,0.587,2908
BLR,MAA,IndiGo,39,18,3,150,0,0,6951,0.853,5978
CCU,BOM,IndiGo,17,9,0,180,0,1,6529,1.248,8330
MAA,HYD,AirIndia,60,12,0,200,0,0,5204,0.655,3739
BOM,HYD,Akasa,29,21,5,180,0,1,4863,1.003,4421
DEL,MAA,AirIndia,36,21,2,180,0,1,7060,0.887,6563
HYD,BLR,Vistara,31,9,6,200,1,0,5764,0.997,5444
DEL,MAA,IndiGo,14,9,1,180,1,0,5908,1.279,8051
MAA,BOM,Vistara,17,12,0,180,1,1,4996,1.226,6235
MAA,HYD,Akasa,34,21,0,180,1,1,4013,0.94,2992
HYD,BOM,AirIndia,34,6,3,200,1,0,6886,0.845,4987
HYD,DEL,IndiGo,24,21,1,150,0,1,5337,1.086,6242
