route,depart_date,days_to_depart,base_price,historical_mean,weekday,month,demand_index,price
BOM-DXB,2025-03-06 00:00:00.000000,0,235.0,239.347,3,3,0.864,208.82
DEL-SFO,2025-03-08 00:00:00.000000,0,1550.0,1530.2679999999998,5,3,0.939,1543.76
DEL-MAA,2025-04-06 00:00:00.000000,0,48.0,47.3156,6,4,1.166,61.03
BOM-LHR,2025-01-25 00:00:00.000000,0,800.0,785.5385000000001,5,1,1.088,892.8
DEL-SFO,2025-03-07 00:00:00.000000,0,1550.0,1530.2679999999998,4,3,0.99,1570.09
DEL-SFO,2025-03-04 00:00:00.000000,0,1550.0,1530.2679999999998,1,3,0.835,1296.23
DEL-GOA,2025-01-11 00:00:00.000000,0,52.0,51.351800000000004,5,1,1.026,55.3
DEL-MAA,2025-02-02 00:00:00.000000,0,48.0,47.3156,6,2,1.047,54.17
MAA-SIN,2025-04-02 00:00:00.000000,0,430.0,436.09839999999997,2,4,0.973,402.49
DEL-BOM,2025-01-19 00:00:00.000000,0,45.0,44.7438,6,1,1.029,47.94
DEL-SFO,2025-01-31 00:00:00.000000,0,1550.0,1530.2679999999998,4,1,1.076,1748.72
MAA-SIN,2025-03-07 00:00:00.000000,0,430.0,436.09839999999997,4,3,0.983,449.82
DEL-GOA,2025-01-31 00:00:00.000000,0,52.0,51.351800000000004,4,1,1.031,57.54
BOM-DXB,2025-03-23 00:00:00.000000,0,235.0,239.347,6,3,1.039,269.41
BOM-DXB,2025-01-02 00:00:00.000000,0,235.0,239.347,3,1,1.041,265.63
DEL-BLR,2025-03-01 00:00:00.000000,0,42.0,42.595699999999994,5,3,1.027,45.06
DEL-BOM,2025-04-09 00:00:00.000000,0,45.0,44.7438,2,4,0.858,42.9
