route,depart_date,base_price,price,historical_mean,demand_index
MAA-DEL,2025-03-14T00:00:00,4800,4810.0,4719.36,0.98
DEL-HYD,2025-01-08T00:00:00,4000,4168.0,3948.02,1.078
DEL-DXB,2025-03-22T00:00:00,23000,22592.0,22540.02,0.923
DEL-MAA,2025-02-20T00:00:00,4800,4657.0,4731.56,0.962
BOM-LHR,2025-01-10T00:00:00,80000,80995.0,78553.85,0.927
DEL-BKK,2025-04-01T00:00:00,26000,28456.0,26199.07,1.024
DEL-DXB,2025-03-20T00:00:00,23000,25845.0,22540.02,1.144
DEL-BOM,2025-02-24T00:00:00,4500,4323.0,4474.38,0.942
BLR-DEL,2025-01-25T00:00:00,4200,3989.0,4167.2,0.904
DEL-SFO,2025-01-28T00:00:00,155000,162239.0,153026.8,1.081
DEL-BOM,2025-02-21T00:00:00,4500,4039.0,4474.38,0.8
MAA-DEL,2025-03-27T00:00:00,4800,4902.0,4719.36,1.018
DEL-LHR,2025-03-10T00:00:00,78000,86130.0,78809.47,1.084
HYD-DEL,2025-01-25T00:00:00,4000,4499.0,3959.32,1.08
MAA-DEL,2025-01-08T00:00:00,4800,4771.0,4719.36,1.018
HYD-DEL,2025-03-31T00:00:00,4000,4059.0,3959.32,0.961
DEL-BLR,2025-03-12T00:00:00,4200,4277.0,4259.57,1.05
BOM-LHR,2025-01-09T00:00:00,80000,86479.0,78553.85,1.071
DEL-LHR,2025-02-02T00:00:00,78000,77942.0,78809.47,0.961
DEL-BOM,2025-02-17T00:00:00,4500,4472.0,4474.38,0.971
MAA-SIN,2025-02-20T00:00:00,43000,45608.0,43609.84,1.045
DEL-BOM,2025-01-13T00:00:00,4500,5031.0,4474.38,1.12
DEL-HYD,2025-01-10T00:00:00,4000,3768.0,3948.02,0.905
DEL-CDG,2025-02-11T00:00:00,82000,77780.0,81879.47,0.996
DEL-BKK,2025-02-14T00:00:00,26000,34465.0,26199.07,1.008
BOM-LHR,2025-04-07T00:00:00,80000,79638.0,78553.85,0.991
DEL-SIN,2025-03-24T00:00:00,42000,41653.0,41912.03,1.044
BOM-DEL,2025-03-03T00:00:00,4500,4276.0,4573.91,0.885
MAA-SIN,2025-03-15T00:00:00,43000,42589.0,43609.84,0.966
DEL-GOA,2025-03-20T00:00:00,5200,4816.0,5135.18,1.003
BOM-LHR,2025-01-22T00:00:00,80000,74413.0,78553.85,0.908
DEL-DXB,2025-03-31T00:00:00,23000,24200.0,22540.02,1.06
DEL-SFO,2025-03-29T00:00:00,155000,145379.0,153026.8,0.938
DEL-JFK,2025-02-17T00:00:00,150000,158450.0,148984.21,0.991
DEL-HYD,2025-03-29T00:00:00,4000,4094.0,3948.02,1.051
DEL-LHR,2025-01-13T00:00:00,78000,91798.0,78809.47,1.096
BLR-DEL,2025-01-12T00:00:00,4200,4240.0,4167.2,0.961
MAA-SIN,2025-03-29T00:00:00,43000,42023.0,43609.84,0.959
MAA-SIN,2025-02-23T00:00:00,43000,44984.0,43609.84,0.978
BOM-DEL,2025-03-25T00:00:00,4500,4869.0,4573.91,1.034
BOM-DXB,2025-04-06T00:00:00,23500,25030.0,23934.7,1.017
DEL-DXB,2025-02-24T00:00:00,23000,21371.0,22540.02,0.984
GOA-DEL,2025-02-25T00:00:00,5200,4228.0,5301.36,0.8
BOM-DEL,2025-01-25T00:00:00,4500,4965.0,4573.91,0.997
BOM-LHR,2025-01-24T00:00:00,80000,82689.0,78553.85,1.017
GOA-DEL,2025-03-29T00:00:00,5200,5050.0,5301.36,0.948
BOM-DEL,2025-03-10T00:00:00,4500,4635.0,4573.91,1.0
DEL-JFK,2025-01-20T00:00:00,150000,167060.0,148984.21,1.07
DEL-BLR,2025-03-11T00:00:00,4200,4159.0,4259.57,1.043
HYD-DEL,2025-02-27T00:00:00,4000,3871.0,3959.32,0.941
MAA-SIN,2025-03-25T00:00:00,43000,44803.0,43609.84,1.096
DEL-LHR,2025-02-25T00:00:00,78000,88734.0,78809.47,1.136
BOM-LHR,2025-04-02T00:00:00,80000,82599.0,78553.85,1.046
MAA-SIN,2025-03-16T00:00:00,43000,44332.0,43609.84,1.01
DEL-CDG,2025-04-09T00:00:00,82000,81060.0,81879.47,1.033
DEL-MAA,2025-03-20T00:00:00,4800,4436.0,4731.56,0.873
DEL-BOM,2025-03-23T00:00:00,4500,5063.0,4474.38,1.066
BOM-LHR,2025-02-17T00:00:00,80000,79580.0,78553.85,0.993
DEL-LHR,2025-02-26T00:00:00,78000,87827.0,78809.47,1.125
DEL-CDG,2025-01-30T00:00:00,82000,83189.0,81879.47,1.035
DEL-BOM,2025-01-11T00:00:00,4500,4017.0,4474.38,0.905
DEL-BOM,2025-04-08T00:00:00,4500,4303.0,4474.38,0.938
DEL-JFK,2025-03-26T00:00:00,150000,162371.0,148984.21,0.946
DEL-JFK,2025-02-03T00:00:00,150000,130773.0,148984.21,0.869
DEL-GOA,2025-02-21T00:00:00,5200,4884.0,5135.18,0.955
DEL-BKK,2025-02-03T00:00:00,26000,30005.0,26199.07,1.014
DEL-LHR,2025-01-03T00:00:00,78000,90772.0,78809.47,1.025
DEL-SFO,2025-02-01T00:00:00,155000,179021.0,153026.8,1.148
DEL-HYD,2025-01-17T00:00:00,4000,4494.0,3948.02,1.083
DEL-HYD,2025-04-04T00:00:00,4000,4200.0,3948.02,1.065
DEL-MAA,2025-01-30T00:00:00,4800,4687.0,4731.56,0.961
BOM-DXB,2025-03-12T00:00:00,23500,25905.0,23934.7,1.07
DEL-BOM,2025-02-09T00:00:00,4500,5659.0,4474.38,1.135
HYD-DEL,2025-03-21T00:00:00,4000,3779.0,3959.32,0.85
DEL-GOA,2025-01-21T00:00:00,5200,5457.0,5135.18,1.087
DEL-BOM,2025-02-26T00:00:00,4500,5655.0,4474.38,1.163
DEL-GOA,2025-01-12T00:00:00,5200,4477.0,5135.18,0.841
MAA-DEL,2025-02-14T00:00:00,4800,6517.0,4719.36,0.998
GOA-DEL,2025-03-13T00:00:00,5200,4857.0,5301.36,0.911
MAA-SIN,2025-01-20T00:00:00,43000,50966.0,43609.84,1.041
DEL-DXB,2025-02-11T00:00:00,23000,23710.0,22540.02,1.057
DEL-CDG,2025-03-31T00:00:00,82000,77462.0,81879.47,0.981
GOA-DEL,2025-03-01T00:00:00,5200,5791.0,5301.36,1.028
BOM-DEL,2025-03-24T00:00:00,4500,4433.0,4573.91,0.994
DEL-SIN,2025-01-04T00:00:00,42000,38928.0,41912.03,0.884
DEL-HYD,2025-03-15T00:00:00,4000,4071.0,3948.02,1.034
BOM-DEL,2025-02-22T00:00:00,4500,4537.0,4573.91,0.897
BOM-LHR,2025-01-06T00:00:00,80000,72771.0,78553.85,0.93
DEL-JFK,2025-01-26T00:00:00,150000,159344.0,148984.21,0.958
DEL-DXB,2025-02-06T00:00:00,23000,17375.0,22540.02,0.8
DEL-SIN,2025-01-08T00:00:00,42000,43350.0,41912.03,1.035
DEL-MAA,2025-04-05T00:00:00,4800,5904.0,4731.56,1.105
BOM-DEL,2025-04-04T00:00:00,4500,4789.0,4573.91,0.985
DEL-LHR,2025-02-16T00:00:00,78000,67033.0,78809.47,0.841
DEL-MAA,2025-03-06T00:00:00,4800,5215.0,4731.56,1.076
HYD-DEL,2025-03-28T00:00:00,4000,3617.0,3959.32,0.856
DEL-SIN,2025-04-04T00:00:00,42000,38392.0,41912.03,0.965
BOM-DEL,2025-03-08T00:00:00,4500,5077.0,4573.91,1.008
DEL-JFK,2025-04-04T00:00:00,150000,184176.0,148984.21,1.078
DEL-JFK,2025-03-15T00:00:00,150000,169023.0,148984.21,1.075
GOA-DEL,2025-02-14T00:00:00,5200,7518.0,5301.36,1.092
MAA-DEL,2025-01-30T00:00:00,4800,4695.0,4719.36,0.974
HYD-DEL,2025-01-03T00:00:00,4000,3963.0,3959.32,0.973
DEL-BKK,2025-01-24T00:00:00,26000,30821.0,26199.07,1.046
DEL-SFO,2025-03-20T00:00:00,155000,151011.0,153026.8,0.961
DEL-SFO,2025-01-06T00:00:00,155000,162166.0,153026.8,1.011
BOM-LHR,2025-04-10T00:00:00,80000,80363.0,78553.85,0.99
DEL-LHR,2025-02-14T00:00:00,78000,109619.0,78809.47,0.953
BOM-DXB,2025-01-14T00:00:00,23500,24488.0,23934.7,1.028
BOM-DEL,2025-01-07T00:00:00,4500,4347.0,4573.91,0.921
BOM-LHR,2025-03-08T00:00:00,80000,81552.0,78553.85,0.984
HYD-DEL,2025-03-04T00:00:00,4000,4570.0,3959.32,1.118
DEL-LHR,2025-03-08T00:00:00,78000,76958.0,78809.47,0.97
MAA-DEL,2025-01-31T00:00:00,4800,4991.0,4719.36,1.031
DEL-GOA,2025-02-24T00:00:00,5200,4781.0,5135.18,1.001
DEL-BKK,2025-03-01T00:00:00,26000,29026.0,26199.07,0.989
DEL-BOM,2025-02-03T00:00:00,4500,4832.0,4474.38,1.046
BLR-DEL,2025-01-21T00:00:00,4200,3535.0,4167.2,0.838
BOM-LHR,2025-04-08T00:00:00,80000,78838.0,78553.85,0.969
DEL-HYD,2025-02-19T00:00:00,4000,3683.0,3948.02,0.998
DEL-GOA,2025-01-18T00:00:00,5200,5087.0,5135.18,1.014
DEL-SIN,2025-03-20T00:00:00,42000,40611.0,41912.03,1.065
BOM-DEL,2025-01-08T00:00:00,4500,4910.0,4573.91,1.004
BLR-DEL,2025-02-05T00:00:00,4200,4630.0,4167.2,1.131
MAA-DEL,2025-02-24T00:00:00,4800,3787.0,4719.36,0.865
BOM-LHR,2025-03-15T00:00:00,80000,78929.0,78553.85,0.943
MAA-DEL,2025-03-25T00:00:00,4800,4090.0,4719.36,0.873
BOM-LHR,2025-02-10T00:00:00,80000,70130.0,78553.85,0.891
DEL-GOA,2025-03-12T00:00:00,5200,3931.0,5135.18,0.816
HYD-DEL,2025-02-04T00:00:00,4000,4203.0,3959.32,1.041
BLR-DEL,2025-01-10T00:00:00,4200,4376.0,4167.2,0.975
DEL-SIN,2025-03-06T00:00:00,42000,43827.0,41912.03,1.122
DEL-SFO,2025-03-01T00:00:00,155000,140562.0,153026.8,0.898
MAA-SIN,2025-03-06T00:00:00,43000,49647.0,43609.84,1.153
DEL-CDG,2025-01-29T00:00:00,82000,85900.0,81879.47,1.137
DEL-BKK,2025-02-12T00:00:00,26000,24724.0,26199.07,0.9
DEL-BOM,2025-01-12T00:00:00,4500,4741.0,4474.38,0.978
DEL-CDG,2025-03-09T00:00:00,82000,93658.0,81879.47,1.107
DEL-SIN,2025-01-21T00:00:00,42000,43111.0,41912.03,1.063
DEL-GOA,2025-03-21T00:00:00,5200,5305.0,5135.18,1.037
DEL-SFO,2025-02-20T00:00:00,155000,162103.0,153026.8,1.033
DEL-JFK,2025-02-08T00:00:00,150000,136539.0,148984.21,0.839
DEL-MAA,2025-01-12T00:00:00,4800,5386.0,4731.56,1.023
BOM-DXB,2025-01-25T00:00:00,23500,28654.0,23934.7,1.05
GOA-DEL,2025-03-24T00:00:00,5200,5496.0,5301.36,1.035
BOM-DXB,2025-02-15T00:00:00,23500,28418.0,23934.7,1.068
HYD-DEL,2025-03-16T00:00:00,4000,4089.0,3959.32,0.982
BOM-LHR,2025-02-22T00:00:00,80000,81198.0,78553.85,0.983
DEL-BKK,2025-03-20T00:00:00,26000,24482.0,26199.07,0.952
GOA-DEL,2025-03-27T00:00:00,5200,5053.0,5301.36,1.002
DEL-JFK,2025-01-19T00:00:00,150000,179061.0,148984.21,1.097
DEL-SIN,2025-04-09T00:00:00,42000,36201.0,41912.03,0.937
HYD-DEL,2025-01-08T00:00:00,4000,3627.0,3959.32,0.915
GOA-DEL,2025-01-13T00:00:00,5200,6152.0,5301.36,1.103
DEL-SFO,2025-04-01T00:00:00,155000,127698.0,153026.8,0.908
BOM-LHR,2025-03-01T00:00:00,80000,72508.0,78553.85,0.911
DEL-SIN,2025-04-01T00:00:00,42000,39199.0,41912.03,0.998
DEL-BKK,2025-01-26T00:00:00,26000,25649.0,26199.07,0.913
DEL-GOA,2025-01-03T00:00:00,5200,5208.0,5135.18,0.936
DEL-BOM,2025-03-12T00:00:00,4500,5114.0,4474.38,1.039
BOM-DXB,2025-03-26T00:00:00,23500,23088.0,23934.7,0.996
DEL-BOM,2025-02-01T00:00:00,4500,4442.0,4474.38,0.879
DEL-BLR,2025-02-19T00:00:00,4200,4013.0,4259.57,0.968
DEL-MAA,2025-03-04T00:00:00,4800,4509.0,4731.56,0.943
DEL-SIN,2025-01-06T00:00:00,42000,43892.0,41912.03,1.071
HYD-DEL,2025-02-25T00:00:00,4000,4263.0,3959.32,1.059
DEL-GOA,2025-04-04T00:00:00,5200,5986.0,5135.18,1.122
DEL-LHR,2025-02-21T00:00:00,78000,83970.0,78809.47,1.02
DEL-JFK,2025-03-14T00:00:00,150000,156362.0,148984.21,0.932
MAA-DEL,2025-01-27T00:00:00,4800,3890.0,4719.36,0.875
BLR-DEL,2025-03-15T00:00:00,4200,4096.0,4167.2,0.837
GOA-DEL,2025-01-21T00:00:00,5200,5218.0,5301.36,0.937
DEL-MAA,2025-01-15T00:00:00,4800,4587.0,4731.56,0.949
DEL-BOM,2025-02-07T00:00:00,4500,4385.0,4474.38,0.939
MAA-SIN,2025-03-14T00:00:00,43000,44693.0,43609.84,0.995
BOM-DXB,2025-02-05T00:00:00,23500,28405.0,23934.7,1.156
DEL-DXB,2025-03-05T00:00:00,23000,23384.0,22540.02,1.026
DEL-BLR,2025-01-24T00:00:00,4200,4453.0,4259.57,1.027
DEL-CDG,2025-03-08T00:00:00,82000,73448.0,81879.47,0.942
DEL-BLR,2025-03-05T00:00:00,4200,4761.0,4259.57,1.112
DEL-BOM,2025-03-31T00:00:00,4500,4720.0,4474.38,1.006
BLR-DEL,2025-03-30T00:00:00,4200,4428.0,4167.2,0.939
GOA-DEL,2025-01-02T00:00:00,5200,5643.0,5301.36,0.98
DEL-JFK,2025-01-15T00:00:00,150000,160409.0,148984.21,1.048
DEL-SIN,2025-02-07T00:00:00,42000,45164.0,41912.03,1.035
BOM-DEL,2025-02-24T00:00:00,4500,5614.0,4573.91,1.16
DEL-MAA,2025-01-17T00:00:00,4800,4680.0,4731.56,0.933
DEL-BKK,2025-02-15T00:00:00,26000,26260.0,26199.07,0.887
DEL-HYD,2025-01-31T00:00:00,4000,3927.0,3948.02,0.993
BLR-DEL,2025-04-07T00:00:00,4200,3799.0,4167.2,0.872
MAA-DEL,2025-03-21T00:00:00,4800,4460.0,4719.36,0.921
DEL-SIN,2025-02-04T00:00:00,42000,43044.0,41912.03,1.053
DEL-JFK,2025-01-14T00:00:00,150000,164284.0,148984.21,1.014
DEL-SFO,2025-02-04T00:00:00,155000,167293.0,153026.8,1.077
DEL-MAA,2025-02-03T00:00:00,4800,5125.0,4731.56,1.066
BLR-DEL,2025-01-01T00:00:00,4200,4996.0,4167.2,0.929
BOM-LHR,2025-02-24T00:00:00,80000,90406.0,78553.85,1.159
BOM-DEL,2025-04-05T00:00:00,4500,5514.0,4573.91,1.116
DEL-SFO,2025-02-08T00:00:00,155000,157207.0,153026.8,1.005
DEL-BOM,2025-01-21T00:00:00,4500,4626.0,4474.38,0.995
BOM-LHR,2025-03-17T00:00:00,80000,94689.0,78553.85,1.035
MAA-SIN,2025-04-08T00:00:00,43000,43920.0,43609.84,1.034
DEL-CDG,2025-03-26T00:00:00,82000,64999.0,81879.47,0.842
BOM-DEL,2025-02-14T00:00:00,4500,6681.0,4573.91,1.105
DEL-DXB,2025-01-28T00:00:00,23000,21805.0,22540.02,1.03
HYD-DEL,2025-03-30T00:00:00,4000,3998.0,3959.32,0.874
BOM-DXB,2025-02-20T00:00:00,23500,22087.0,23934.7,0.861
MAA-DEL,2025-02-22T00:00:00,4800,5138.0,4719.36,1.027
GOA-DEL,2025-02-13T00:00:00,5200,5989.0,5301.36,1.098
DEL-LHR,2025-02-11T00:00:00,78000,83476.0,78809.47,1.038
MAA-DEL,2025-02-08T00:00:00,4800,4749.0,4719.36,1.08
DEL-HYD,2025-01-07T00:00:00,4000,4106.0,3948.02,1.101
BOM-DXB,2025-04-05T00:00:00,23500,27564.0,23934.7,1.118
BLR-DEL,2025-01-16T00:00:00,4200,4054.0,4167.2,1.005
HYD-DEL,2025-01-30T00:00:00,4000,4055.0,3959.32,1.023
DEL-SFO,2025-02-07T00:00:00,155000,177499.0,153026.8,1.071
HYD-DEL,2025-01-09T00:00:00,4000,3971.0,3959.32,0.985
BOM-DXB,2025-01-11T00:00:00,23500,25315.0,23934.7,0.944
DEL-DXB,2025-01-05T00:00:00,23000,19888.0,22540.02,0.892
BOM-DEL,2025-01-06T00:00:00,4500,5271.0,4573.91,1.127
DEL-SIN,2025-01-01T00:00:00,42000,49162.0,41912.03,0.928
DEL-MAA,2025-03-21T00:00:00,4800,5648.0,4731.56,1.063
MAA-SIN,2025-01-24T00:00:00,43000,44883.0,43609.84,0.954
DEL-DXB,2025-03-17T00:00:00,23000,29157.0,22540.02,1.015
MAA-DEL,2025-03-12T00:00:00,4800,5526.0,4719.36,1.186
DEL-GOA,2025-01-19T00:00:00,5200,5046.0,5135.18,0.991
DEL-JFK,2025-04-08T00:00:00,150000,161927.0,148984.21,0.958
DEL-BKK,2025-03-07T00:00:00,26000,30321.0,26199.07,1.029
DEL-BLR,2025-03-20T00:00:00,4200,4189.0,4259.57,1.02
DEL-SFO,2025-01-12T00:00:00,155000,161195.0,153026.8,1.024
DEL-BLR,2025-02-02T00:00:00,4200,4611.0,4259.57,0.994
DEL-LHR,2025-02-07T00:00:00,78000,85546.0,78809.47,0.993
DEL-DXB,2025-02-03T00:00:00,23000,21223.0,22540.02,1.003
DEL-LHR,2025-03-04T00:00:00,78000,84935.0,78809.47,1.041
BOM-DEL,2025-02-21T00:00:00,4500,4737.0,4573.91,0.95
BLR-DEL,2025-03-05T00:00:00,4200,4632.0,4167.2,1.096
DEL-BOM,2025-01-04T00:00:00,4500,5307.0,4474.38,1.124
DEL-DXB,2025-02-23T00:00:00,23000,24540.0,22540.02,1.043
BOM-DXB,2025-03-06T00:00:00,23500,20882.0,23934.7,0.864
DEL-SFO,2025-03-08T00:00:00,155000,154376.0,153026.8,0.939
DEL-MAA,2025-04-06T00:00:00,4800,6103.0,4731.56,1.166
BOM-LHR,2025-01-25T00:00:00,80000,89280.0,78553.85,1.088
DEL-SFO,2025-03-07T00:00:00,155000,157009.0,153026.8,0.99
DEL-SFO,2025-03-04T00:00:00,155000,129623.0,153026.8,0.835
DEL-GOA,2025-01-11T00:00:00,5200,5530.0,5135.18,1.026
DEL-MAA,2025-02-02T00:00:00,4800,5417.0,4731.56,1.047
MAA-SIN,2025-04-02T00:00:00,43000,40249.0,43609.84,0.973
DEL-BOM,2025-01-19T00:00:00,4500,4794.0,4474.38,1.029
DEL-SFO,2025-01-31T00:00:00,155000,174872.0,153026.8,1.076
MAA-SIN,2025-03-07T00:00:00,43000,44982.0,43609.84,0.983
DEL-GOA,2025-01-31T00:00:00,5200,5754.0,5135.18,1.031
BOM-DXB,2025-03-23T00:00:00,23500,26941.0,23934.7,1.039
BOM-DXB,2025-01-02T00:00:00,23500,26563.0,23934.7,1.041
DEL-BLR,2025-03-01T00:00:00,4200,4506.0,4259.57,1.027
DEL-BOM,2025-04-09T00:00:00,4500,4290.0,4474.38,0.858
DEL-CDG,2025-01-11T00:00:00,82000,87078.0,81879.47,1.078
DEL-BLR,2025-03-15T00:00:00,4200,4755.0,4259.57,1.084
BLR-DEL,2025-03-04T00:00:00,4200,3678.0,4167.2,0.857
DEL-BKK,2025-03-16T00:00:00,26000,28233.0,26199.07,0.984
DEL-LHR,2025-04-04T00:00:00,78000,89033.0,78809.47,1.001
MAA-SIN,2025-02-03T00:00:00,43000,42759.0,43609.84,0.984
BOM-LHR,2025-01-13T00:00:00,80000,73700.0,78553.85,0.931
MAA-DEL,2025-04-02T00:00:00,4800,4085.0,4719.36,0.9
BOM-DEL,2025-01-17T00:00:00,4500,4026.0,4573.91,0.8
DEL-BLR,2025-02-15T00:00:00,4200,4426.0,4259.57,0.975
DEL-CDG,2025-01-20T00:00:00,82000,88038.0,81879.47,1.041
DEL-JFK,2025-02-01T00:00:00,150000,158131.0,148984.21,0.985
DEL-MAA,2025-01-28T00:00:00,4800,4877.0,4731.56,0.999
MAA-DEL,2025-03-23T00:00:00,4800,4733.0,4719.36,1.008
DEL-BLR,2025-03-18T00:00:00,4200,3502.0,4259.57,0.901
DEL-SFO,2025-01-17T00:00:00,155000,175697.0,153026.8,1.055
MAA-SIN,2025-01-15T00:00:00,43000,34799.0,43609.84,0.8
GOA-DEL,2025-03-22T00:00:00,5200,5145.0,5301.36,0.934
DEL-SFO,2025-01-20T00:00:00,155000,174868.0,153026.8,1.111
DEL-SIN,2025-03-15T00:00:00,42000,43457.0,41912.03,1.076
BOM-DXB,2025-01-20T00:00:00,23500,26848.0,23934.7,1.061
DEL-HYD,2025-02-07T00:00:00,4000,3627.0,3948.02,0.904
DEL-BLR,2025-01-31T00:00:00,4200,3969.0,4259.57,0.911
DEL-DXB,2025-04-02T00:00:00,23000,25205.0,22540.02,1.114
BOM-LHR,2025-01-16T00:00:00,80000,76435.0,78553.85,0.974
DEL-BKK,2025-01-30T00:00:00,26000,28228.0,26199.07,1.044
DEL-HYD,2025-03-16T00:00:00,4000,4374.0,3948.02,1.056
DEL-DXB,2025-03-26T00:00:00,23000,24140.0,22540.02,1.071
MAA-DEL,2025-01-15T00:00:00,4800,4743.0,4719.36,1.04
DEL-LHR,2025-02-20T00:00:00,78000,79074.0,78809.47,1.054
DEL-LHR,2025-03-09T00:00:00,78000,86250.0,78809.47,1.048
DEL-JFK,2025-01-11T00:00:00,150000,157763.0,148984.21,1.006
DEL-LHR,2025-03-15T00:00:00,78000,86542.0,78809.47,1.074
DEL-BLR,2025-02-14T00:00:00,4200,6618.0,4259.57,1.11
BOM-LHR,2025-03-28T00:00:00,80000,91476.0,78553.85,1.02
BLR-DEL,2025-03-10T00:00:00,4200,4765.0,4167.2,1.049
BOM-DEL,2025-01-04T00:00:00,4500,4762.0,4573.91,0.937
DEL-HYD,2025-04-01T00:00:00,4000,3076.0,3948.02,0.8
MAA-DEL,2025-02-25T00:00:00,4800,4995.0,4719.36,1.084
DEL-SFO,2025-01-25T00:00:00,155000,165364.0,153026.8,1.106
DEL-GOA,2025-01-08T00:00:00,5200,4525.0,5135.18,0.948
BOM-LHR,2025-01-19T00:00:00,80000,88703.0,78553.85,1.102
GOA-DEL,2025-02-27T00:00:00,5200,5285.0,5301.36,1.028
DEL-MAA,2025-02-08T00:00:00,4800,5143.0,4731.56,1.029
MAA-DEL,2025-03-24T00:00:00,4800,4435.0,4719.36,0.952
DEL-LHR,2025-01-19T00:00:00,78000,84104.0,78809.47,0.992
MAA-DEL,2025-01-28T00:00:00,4800,5177.0,4719.36,1.12
BOM-DEL,2025-02-12T00:00:00,4500,5095.0,4573.91,1.074
DEL-CDG,2025-02-06T00:00:00,82000,64659.0,81879.47,0.853
BOM-DEL,2025-03-09T00:00:00,4500,5051.0,4573.91,1.049
BLR-DEL,2025-03-27T00:00:00,4200,5095.0,4167.2,1.175
DEL-SIN,2025-01-17T00:00:00,42000,46387.0,41912.03,1.053
DEL-CDG,2025-02-24T00:00:00,82000,75237.0,81879.47,1.046
MAA-SIN,2025-01-26T00:00:00,43000,43488.0,43609.84,0.967
BOM-DEL,2025-01-01T00:00:00,4500,7293.0,4573.91,1.196
DEL-SFO,2025-01-04T00:00:00,155000,149444.0,153026.8,0.97
HYD-DEL,2025-02-02T00:00:00,4000,4524.0,3959.32,1.01
MAA-DEL,2025-02-13T00:00:00,4800,4479.0,4719.36,0.985
BOM-LHR,2025-01-01T00:00:00,80000,97337.0,78553.85,0.93
BOM-DEL,2025-02-20T00:00:00,4500,5672.0,4573.91,1.172
DEL-SFO,2025-02-02T00:00:00,155000,143133.0,153026.8,0.972
DEL-LHR,2025-01-11T00:00:00,78000,90938.0,78809.47,1.062
DEL-HYD,2025-03-20T00:00:00,4000,3567.0,3948.02,0.946
BLR-DEL,2025-03-17T00:00:00,4200,5627.0,4167.2,1.026
DEL-MAA,2025-03-24T00:00:00,4800,5695.0,4731.56,1.12
MAA-SIN,2025-01-13T00:00:00,43000,33698.0,43609.84,0.821
BOM-LHR,2025-01-11T00:00:00,80000,87673.0,78553.85,1.094
BLR-DEL,2025-01-24T00:00:00,4200,4744.0,4167.2,1.04
MAA-DEL,2025-04-10T00:00:00,4800,4677.0,4719.36,1.004
DEL-CDG,2025-04-05T00:00:00,82000,75194.0,81879.47,0.921
DEL-CDG,2025-02-15T00:00:00,82000,87216.0,81879.47,0.979
BOM-DXB,2025-03-20T00:00:00,23500,23622.0,23934.7,0.991
DEL-SIN,2025-03-27T00:00:00,42000,38701.0,41912.03,0.982
DEL-MAA,2025-03-27T00:00:00,4800,4786.0,4731.56,0.98
BOM-DEL,2025-02-01T00:00:00,4500,4843.0,4573.91,0.911
GOA-DEL,2025-03-30T00:00:00,5200,5091.0,5301.36,0.961
BLR-DEL,2025-04-05T00:00:00,4200,4230.0,4167.2,0.863
DEL-GOA,2025-02-07T00:00:00,5200,5274.0,5135.18,1.043
DEL-MAA,2025-03-13T00:00:00,4800,4511.0,4731.56,0.918
DEL-CDG,2025-01-14T00:00:00,82000,77994.0,81879.47,0.971
